CLAVE,SITIO,ESTADO,LATITUD,LONGITUD,SEMAFORO,CLUSTER
OCPSU4794,CUENCAS Y CORALES DE LA ZONA COSTERA DE HUATULCO 8,OAXACA,15.7321,-96.1521,Rojo,0
OCPSU4795,CUENCAS Y CORALES DE LA ZONA COSTERA DE HUATULCO 2,OAXACA,15.686,-96.3061,Rojo,0
OCPSU4797,PUNTA PUERTO ANGEL SEG 53 4 ISA 7,OAXACA,15.6681,-96.4822,Verde,0
OCPSU4798M1,PLAYA EL PANTEON,OAXACA,15.66456,-96.49562,Verde,0
OCPSU4799,BAHIA PUERTO ANGEL CENTRO,OAXACA,15.6644,-96.4914,Verde,0
OCPSU4800,PLAYA SAN AGUSTINILLO SEG 53 2 ISA 7,OAXACA,15.6648,-96.5406,Verde,0
OCPSU4801M1,PLAYA MAZUNTE,OAXACA,15.66465,-96.55366,Verde,0
OCPSU4802,DESEMBOCADURA RIO TONAMECA,OAXACA,15.6881,-96.6116,Verde,0
OCPSU4804,RIO TONAMECA,OAXACA,15.7166,-96.609,Verde,0
OCPSU4806,DESEMBOCADURA DEL RIO COZOALTEPEC AL MAR SEG 51 ISA 10B,OAXACA,15.72812,-96.76175,Amarillo,0
OCPSU4807M1,DESEMBOCADURA DEL RIO COZOALTEPEC A PLAYA LA ESCOBILLA,OAXACA,15.72873,-96.76846,Verde,0
OCPSU4808M1,SANTA CRUZ AMILPAS,OAXACA,17.05364,-96.6851,Rojo,2
OCPSU4810,RIO COZOALTEPEC 3,OAXACA,15.7327,-96.761,Amarillo,0
OCPSU4811,RIO COZOALTEPEC 2,OAXACA,15.7499,-96.7614,Amarillo,0
OCPSU4812,RIO  COZOALTEPEC 1,OAXACA,15.79466,-96.72652,Amarillo,0
OCPSU4813,PLAYA JUNTO AL RIO COLOTEPEC SEG 50 ISA 9,OAXACA,15.80544,-97.01873,Verde,0
OCPSU4814M1,PLAYA PUERTO ANGELITO,OAXACA,15.85762,-97.07446,Verde,0
OCPSU4815,PLAYA PUNTA  ZICATELA SEG 49 7 ISA 9,OAXACA,15.8345,-97.0462,Verde,0
OCPSU4816,PLAYA ZICATELA PUERTO ESCONDIDO SEG 49 5 ISA 9,OAXACA,15.8402,-97.05026,Verde,0
OCPSU4817,PLAYA ZICATELA PUERTO ESCONDIDO SEG 49  4 ISA 9,OAXACA,15.84556,-97.05419,Verde,0
OCPSU4818,PLAYA DE ZICATELA PUERTO ESCONDIDO 49 2 ISA 9,OAXACA,15.85093,-97.05696,Verde,0
OCPSU4819,PLAYA ZICATELA PTO ESCONDIDO SEG 49 ISA 9,OAXACA,15.85544,-97.05927,Verde,0
OCPSU4820,BAHIA PUERTO ESCONDIDO,OAXACA,15.85953,-97.06407,Verde,0
OCPSU4821M1,PLAYA CARRIZALILLO,OAXACA,15.85891,-97.07928,Verde,0
OCPSU4822,LAGUNA MANIALTEPEC 1,OAXACA,15.9368,-97.1602,Amarillo,0
OCPSU4823,LAGUNA (MANIALTEPEC) 3,OAXACA,15.9291,-97.1658,Verde,0
OCPSU4824,LAGUNA MANIALTEPEC CENTRO,OAXACA,15.9378,-97.1842,Verde,0
OCPSU4825,LAGUNA MANIALTEPEC 2,OAXACA,15.94961,-97.21349,Verde,0
OCPSU4826,BOCABARRA LAGUNA MANIALTEPEC,OAXACA,15.92912,-97.23565,Verde,0
OCPSU4827,PUENTE MANIALTEPEC,OAXACA,15.9596,-97.2506,Verde,0
OCPSU4829M1,PUENTE LAS ANIMAS NEJAPA,OAXACA,16.62229,-96.0362,Amarillo,0
OCPSU4830,RIO GRANDE 13,OAXACA,16.00499,-97.4468,Amarillo,0
OCPSU4831,RIO GRANDE 12,OAXACA,15.96893,-97.47018,Amarillo,0
OCPSU4832,DESEMBOCADURA DEL RIO GRANDE AL MAR1 SEG 47 ISA10B,OAXACA,15.95458,-97.47779,Amarillo,0
OCPSU4833,DESEMBODADURA DEL RIO GRANDE AL MAR2 SEG 47 ISA9,OAXACA,15.95149,-97.47464,Rojo,0
OCPSU4834,BOCA BARRA LAGUNA PASTORIA,OAXACA,15.96973,-97.53949,Verde,0
OCPSU4835,LAGUNA PASTORIA,OAXACA,15.9857,-97.57188,Verde,0
OCPSU4836M1,LAGUNA PASTORIA 2,OAXACA,15.98357,-97.55259,Verde,0
OCPSU4837M1,PLAYA PASTORIA2 SEG 46 ISA10B,OAXACA,15.96768,-97.53474,Verde,0
OCPSU4839,LAGUNA PASTORIA 3,OAXACA,15.98722,-97.63125,Verde,0
OCPSU4840,LAGUNA DE CHACAHUA 1,OAXACA,15.98773,-97.66087,Rojo,0
OCPSU4841,LAGUNA DE CHACAHUA 2,OAXACA,15.99115,-97.6853,Rojo,0
OCPSU4842,LAGUNA CHACAHUA CENTRO,OAXACA,15.98009,-97.6946,Rojo,0
OCPSU4843M1,LAGUNA DE CHACAHUA  3,OAXACA,15.97051,-97.68431,Verde,0
OCPSU4845,BOCA BARRA LAGUNA CHACAHUA,OAXACA,15.96614,-97.67709,Verde,0
OCPSU4847,DESEMBOCADURA RIO VERDE1,OAXACA,15.98629,-97.7868,Amarillo,0
OCPSU4848M1,SAN ANTONIO DE LA CAL 2,OAXACA,17.02857,-96.7105,Rojo,2
OCPSU4849M1,RIO QUIECHAPA,OAXACA,16.65528,-96.09964,Verde,0
OCPSU4850,CORTINA PRESA DERIVADORA (ANTES PUENTE CARRETERO),OAXACA,16.10805,-97.73271,Amarillo,0
OCPSU4851,PUENTE CARRETERO,OAXACA,16.16348,-97.73643,Verde,0
OCPSU4852M1,RIO VERDE 2 CHARCO REDONDO,OAXACA,16.03942,-97.75103,Amarillo,0
OCPSU4853,PUENTE SAN LORENZO-HUAXPALTEPEC,OAXACA,16.37979,-97.88041,Amarillo,0
OCPSU4854,PUENTE CARRETERO RIO DE LA ARENA,OAXACA,16.32931,-98.01303,Amarillo,0
OCPSU4855,COLLANTES,OAXACA,16.17656,-97.96816,Rojo,0
OCPSU4856,SANTA MARIA COLOTEPEC,OAXACA,15.89748,-96.94879,Amarillo,0
OCPSU4857,MALUCANO,OAXACA,15.85236,-97.02624,Amarillo,0
OCPSU4860M1,LAGUNA PASTORIA 1,OAXACA,16.0098,-97.60128,Verde,0
OCPSU4861,LAGUNA EL CORRALERO,OAXACA,16.23391,-98.18968,Verde,0
OCPSU4862,DESEMBOCADURA LAGUNA EL CORRALERO,OAXACA,16.2139,-98.18649,Verde,0
OCPSU4866,RIO ATOYAC 4,OAXACA,16.5456,-96.8062,Amarillo,2
OCPSU4867,RIO ATOYAC 3,OAXACA,16.5446,-96.8059,Amarillo,2
OCPSU4869,RIO ATOYAC 2,OAXACA,16.4633,-96.8036,Amarillo,2
OCPSU4870,RIO ATOYAC 1,OAXACA,16.4596,-96.8053,Amarillo,2
OCPSU4873,"SEGMENTO 67, 2 ISA6",OAXACA,16.00524,-94.00709,Verde,0
OCPSU4874,LAGUNA INFERIOR 6,OAXACA,16.31486,-94.59056,Verde,0
OCPSU4875,LAGUNA INFERIOR 9,OAXACA,16.34511,-94.61773,Verde,0
OCPSU4876,LAGUNA INFERIOR 1,OAXACA,16.35673,-94.64558,Verde,0
OCPSU4877,LAGUNA INFERIOR (GUAMUCHIL),OAXACA,16.36329,-94.66776,Verde,0
OCPSU4878,LAGUNA INFERIOR 4,OAXACA,16.27241,-94.62835,Verde,0
OCPSU4879,BOCABARRA LAGUNA,OAXACA,16.27418,-94.81146,Verde,0
OCPSU4880,BOCABARRA LAGUNA INFERIOR (GUAMUCHIL),OAXACA,16.23213,-94.74908,Verde,0
OCPSU4882,LAGUNA INFERIOR CENTRO,OAXACA,16.27569,-94.72657,Verde,0
OCPSU4883,LAGUNA SUPERIOR 7,OAXACA,16.31627,-94.91077,Verde,0
OCPSU4884,LAGUNA SUPERIOR 2,OAXACA,16.36563,-94.95731,Verde,0
OCPSU4885,LAGUNA SUPERIOR 11,OAXACA,16.41899,-94.91947,Verde,0
OCPSU4886,LAGUNA SUPERIOR 3,OAXACA,16.42114,-94.88163,Verde,0
OCPSU4887,LAGUNA SUPERIOR 10,OAXACA,16.40099,-94.82924,Verde,0
OCPSU4888,LAGUNA SUPERIOR (SAN DIONICIO DEL MAR),OAXACA,16.36416,-94.80738,Verde,0
OCPSU4889,LAGUNA SUPERIOR 8,OAXACA,16.33453,-94.77941,Verde,0
OCPSU6517,MAGDALENA OCOTLAN,OAXACA,16.69986,-96.70023,Amarillo,0
OCPYU4891,M1 MANATI,QUINTANA ROO,21.2175,-86.82464,Verde,0
OCPYU4892,M2 MANATI,QUINTANA ROO,21.22639,-86.82001,Verde,0
OCPYU4893,M3 MANATI,QUINTANA ROO,21.22944,-86.82599,Verde,0
OCPYU4894,M4 MANATI,QUINTANA ROO,21.22667,-86.82917,Verde,0
OCPYU4895,M5 MANATI,QUINTANA ROO,21.235,-86.83389,Verde,0
OCPYU4896,M7 MANATI,QUINTANA ROO,21.24167,-86.84,Verde,0
OCPYU4897,M6 MANATI,QUINTANA ROO,21.24806,-86.83917,Verde,0
OCPYU4898,L1 CHACMOCHUC,QUINTANA ROO,21.25833,-86.8375,Verde,0
OCPYU4899,L2 CHACMOCHUC,QUINTANA ROO,21.28417,-86.83722,Verde,0
OCPYU4900,L3 CHACMOCHUC,QUINTANA ROO,21.30083,-86.84861,Verde,0
OCPYU4901,L4 CHACMOCHUC,QUINTANA ROO,21.32,-86.82778,Verde,0
OCPYU4902,L5 CHACMOCHUC,QUINTANA ROO,21.33353,-86.85861,Verde,0
OCPYU4903,L7 CHACMOCHUC,QUINTANA ROO,21.35167,-86.83889,Verde,0
OCPYU4904,L6 CHACMOCHUC,QUINTANA ROO,21.3522,-86.81694,Verde,0
OCPYU4905,L8 CHACMOCHUC,QUINTANA ROO,21.38444,-86.825,Verde,0
OCPYU4906,L9 CHACMOCHUC,QUINTANA ROO,21.38444,-86.85278,Verde,0
OCPYU4907,HUMEDAL DE IMPORTANCIA ESPECIALMENTE PARA LA CONSERVACION DE AVES ACUATICAS RESERVA RIA LAGARTOS 1,QUINTANA ROO,21.47786,-87.48804,Verde,0
OCPYU4908,EL CUYO,YUCATAN,21.52011,-87.6774,Verde,0
OCPYU4909,HUMEDAL DE IMPORTANCIA ESPECIALMENTE PARA LA CONSERVACION DE AVES ACUATICAS RESERVA RIA LAGARTOS 2,YUCATAN,21.57138,-87.86494,Verde,0
OCPYU4910,HUMEDAL DE IMPORTANCIA ESPECIALMENTE PARA LA CONSERVACION DE AVES ACUATICAS RESERVA RIA LAGARTOS 3,YUCATAN,21.59196,-87.91356,Verde,0
OCPYU4911,COLORADAS,YUCATAN,21.61044,-88.00683,Verde,0
OCPYU4912W1,HUMEDAL DE IMPORTANCIA ESPECIALMENTE PARA LA CONSERVACION DE AVES ACUATICAS RESERVA RIA LAGARTOS 5,YUCATAN,21.59318,-88.05565,Verde,0
OCPYU4913,HUMEDAL DE IMPORTANCIA ESPECIALMENTE PARA LA CONSERVACION DE AVES ACUATICAS RESERVA RIA LAGARTOS 6,YUCATAN,21.60022,-88.14911,Verde,0
OCPYU4914,HUMEDAL DE IMPORTANCIA ESPECIALMENTE PARA LA CONSERVACION DE AVES ACUATICAS RESERVA RIA LAGARTOS 4,YUCATAN,21.57228,-88.22769,Verde,0
OCPYU4915,HUMEDAL DE IMPORTANCIA ESPECIALMENTE PARA LA CONSERVACION DE AVES ACUATICAS RESERVA RIA LAGARTOS 7,YUCATAN,21.5683,-88.23712,Verde,0
OCPYU4916,SAN FELIPE,YUCATAN,21.56851,-88.24193,Verde,0
OCPYU4935,PUENTE PROGRESO YUCALPETEN,YUCATAN,21.2678,-89.70145,Verde,0
